num;Q;2p;L;type;q;kw1;asym_gleicheWeite;asym_konz;formdiff;polCountMin;polCountMax;polSoll;strangSym
1;12;2;2;distributed;2;0.966;16.5;16.5;0;2;2;2;1
2;12;2;1;distributed;2;0.966;16.5;16.5;0;2;2;2;1
3;12;4;2;distributed;1;1;15.4;15.4;0;4;4;4;1
4;12;4;1;distributed;1;1;15.4;15.4;0;4;4;4;1
5;12;8;2;toothcoil;0.5;0.866;15.3;15.3;0;8;8;8;1
6;12;10;2;toothcoil;0.4;0.933;110.2;110.2;0;8;10;10;1
7;18;2;2;distributed;3;0.96;11.4;11.4;0;2;2;2;1
8;18;2;1;distributed;3;0.96;11.4;11.4;0;2;2;2;1
9;18;4;2;distributed;1.5;0.945;10;10;0;4;4;4;1
10;18;6;2;distributed;1;1;10.5;10.5;0;6;6;6;1
11;18;6;1;distributed;1;1;10.5;10.5;0;6;6;6;1
12;18;8;2;toothcoil;0.75;0.945;71.1;71.1;0;8;8;8;1
13;18;10;2;toothcoil;0.6;0.945;76.5;76.5;0;10;10;10;1
14;18;12;2;toothcoil;0.5;0.866;10.5;10.5;0;12;12;12;1
15;18;14;2;toothcoil;0.429;0.902;97.2;97.2;0;10;14;14;1
16;18;16;2;toothcoil;0.375;0.945;108.8;108.8;0;12;16;16;1
17;24;2;2;distributed;4;0.958;8.7;8.7;0;2;2;2;1
18;24;2;1;distributed;4;0.958;8.7;8.7;0;2;2;2;1
19;24;4;2;distributed;2;0.966;8.6;8.6;0;4;4;4;1
20;24;4;1;distributed;2;0.966;8.6;8.6;0;4;4;4;1
21;24;8;2;distributed;1;1;8;8;0;8;8;8;1
22;24;8;1;distributed;1;1;8;8;0;8;8;8;1
23;24;10;2;toothcoil;0.8;0.925;90;90;0;10;10;10;1
24;24;14;2;toothcoil;0.571;0.925;82;82;0;14;14;14;1
25;24;16;2;toothcoil;0.5;0.866;8;8;0;16;16;16;1
26;24;20;2;toothcoil;0.4;0.933;101;101;0;16;20;20;1
27;24;22;2;toothcoil;0.364;0.949;111.1;111.1;0;16;22;22;1
28;36;2;2;distributed;6;0.956;5.9;5.9;0;2;2;2;1
29;36;2;1;distributed;6;0.956;5.9;5.9;0;2;2;2;1
30;36;4;2;distributed;3;0.96;5.9;5.9;0;4;4;4;1
31;36;4;1;distributed;3;0.96;5.9;5.9;0;4;4;4;1
32;36;6;2;distributed;2;0.966;5.8;5.8;0;6;6;6;1
33;36;6;1;distributed;2;0.966;5.8;5.8;0;6;6;6;1
34;36;8;2;distributed;1.5;0.945;5.2;5.2;0;8;8;8;1
35;36;10;2;distributed;1.2;0.942;76.6;76.6;0;10;10;10;1
36;36;12;2;distributed;1;1;5.4;5.4;0;12;12;12;1
37;36;12;1;distributed;1;1;5.4;5.4;0;12;12;12;1
38;36;14;2;toothcoil;0.857;0.924;111.3;111.3;0;14;14;14;1
39;36;16;2;toothcoil;0.75;0.945;70.2;70.2;0;16;16;16;1
40;36;20;2;toothcoil;0.6;0.945;72;72;0;20;20;20;1
41;36;22;2;toothcoil;0.545;0.898;87.7;87.7;0;22;22;22;1
42;36;24;2;toothcoil;0.5;0.866;5.4;5.4;0;24;24;24;1
43;36;26;2;toothcoil;0.462;0.867;84.7;84.7;0;22;26;26;1
44;36;28;2;toothcoil;0.429;0.902;91.2;91.2;0;20;28;28;1
45;36;30;2;toothcoil;0.4;0.933;97.7;97.7;0;24;30;30;1
46;36;32;2;toothcoil;0.375;0.945;103.1;103.1;0;24;32;32;1
47;36;34;2;toothcoil;0.353;0.953;110.8;110.8;0;24;34;34;1
48;48;2;2;distributed;8;0.956;4.5;4.5;0;2;2;2;1
49;48;2;1;distributed;8;0.956;4.5;4.5;0;2;2;2;1
50;48;4;2;distributed;4;0.958;4.5;4.5;0;4;4;4;1
51;48;4;1;distributed;4;0.958;4.5;4.5;0;4;4;4;1
52;48;8;2;distributed;2;0.966;4.4;4.4;0;8;8;8;1
53;48;8;1;distributed;2;0.966;4.4;4.4;0;8;8;8;1
54;48;10;2;distributed;1.6;0.954;34.2;34.2;0;10;10;10;1
55;48;14;2;distributed;1.143;0.937;64.6;64.6;0;14;14;14;1
56;48;16;2;distributed;1;1;4.1;4.1;0;16;16;16;1
57;48;16;1;distributed;1;1;4.1;4.1;0;16;16;16;1
58;48;20;2;toothcoil;0.8;0.925;85.7;85.7;0;20;20;20;1
59;48;22;2;toothcoil;0.727;0.947;78.3;78.3;0;22;22;22;1
60;48;26;2;toothcoil;0.615;0.947;67.4;67.4;0;26;26;26;1
61;48;28;2;toothcoil;0.571;0.925;78.1;78.1;0;28;28;28;1
62;48;32;2;toothcoil;0.5;0.866;4.1;4.1;0;32;32;32;1
63;48;34;2;toothcoil;0.471;0.857;81.7;81.7;0;32;34;34;1
64;48;38;2;toothcoil;0.421;0.905;91.3;91.3;0;28;38;38;1
65;48;40;2;toothcoil;0.4;0.933;96.1;96.1;0;32;40;40;1
66;48;44;2;toothcoil;0.364;0.949;105.7;105.7;0;32;44;44;1
67;48;46;2;toothcoil;0.348;0.954;110.5;110.5;0;32;46;46;1
